issue_id,doc,line_no,classification,refute_required,adverse_text,affirmative_counter_proposition
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0008.pdf,62,parenting_time_restriction,"N/A (support, not refute; non-court narrative)",order suspending,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0008.pdf,105,ex_parte_reference,"N/A (support, not refute; non-court narrative)",I was not served with the ex parte motion,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0008.pdf,123,parenting_time_restriction,"N/A (support, not refute; non-court narrative)",time had been suspended.,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0009.pdf,20,ex_parte_reference,"N/A (support, not refute; non-court narrative)",the ex parte suspension.,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0009.pdf,28,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)",Judge McNeill,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0009.pdf,51,mental_health_assessment,"N/A (support, not refute; non-court narrative)",D. Off-Record Handling of Health West Evaluatiotx (Ex Parte Communications),The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0009.pdf,56,mental_health_assessment,"N/A (support, not refute; non-court narrative)","evaluation,",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0009.pdf,61,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)","After the August 28 hearing, Judge McNeill",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0009.pdf,64,mental_health_assessment,"N/A (support, not refute; non-court narrative)",assessment from HealtliWest.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0009.pdf,70,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0009.pdf,85,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0010.pdf,11,ex_parte_reference,"N/A (support, not refute; non-court narrative)","record and ex parte, contraiy",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0010.pdf,13,ex_parte_reference,"N/A (support, not refute; non-court narrative)",on ex parte,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0010.pdf,33,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0010.pdf,36,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)","9, 2025, Judge McNeill",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0010.pdf,49,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131859_0010.pdf,59,anger_characterization,"N/A (support, not refute; non-court narrative)",that I posed a danger to Lincoln,"Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0010.pdf,60,parenting_time_restriction,"N/A (support, not refute; non-court narrative)",or that unsupervised,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0010.pdf,67,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0010.pdf,109,parenting_time_restriction,"N/A (support, not refute; non-court narrative)","time was denied, and I had no contact",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
